"_id","effectiveAddress","foundCount","latestTransactionHash","latestBlockNumber","hasSentNFT"
"620d1e457cce5cea0af6ea30","0x2D8F9048D4383529a9a6B3CE8B426BD49873a414",6,"0x2486e19fd49ad2bee8325937b76ec8ea2e3ee5fc9b6a6e1386b2a6676b190bff",25000000,false
"620d1e457cce5cea0af6ea31","0xEA191A858FDFB509e81d7cF024f31d945A6F7c0A",1,"0xc6d447b7ebb4ab216780b7d62ecfe0e6b4a544bd4d278705912867486e366539",25000000,false
"620d1e457cce5cea0af6ea32","0xd1Fd54AFaD2b463f82109653D28ffe297986f2f8",1,"0x7afaacf38a5b3824c6a2b0a69c922c8b6922d14a28a6feac63efae0ab72efa14",25000000,false
"620d1e457cce5cea0af6ea33","0x4d69B6091dd89e617cF255e8f6CF8a10C0eF3D94",6,"0xcd53410b78d56e3663e6b8334b60fb95e5f3833f9d8cebd013e5dbc4938f636e",25000000,false
"620d1e457cce5cea0af6ea34","0xa921C427173aBdac007f4DdD611495e52F9d11fE",4,"0xfa7319445793f5e9e39a3ede921eedf3b2b0728230e41fbeb3af551cf4099bdc",25000000,false
"620d1e467cce5cea0af6ea35","0x9AE3538c9681a47A1519cAe6e2606749b2E4aeD7",2,"0xe11ebeeec68b4e3fc0063ec552a75900a2a7148ec8370e3d409b64ccfbb307d1",25000000,false
"620d1e467cce5cea0af6ea36","0x873c940198044E19a0c30F8D49491e92A813abf8",3,"0xa3e08c90c1e957ab91dcd600c63ea9f3dc71ea8b5f46ffa9635167b586d6e296",25000000,false
"620d1e467cce5cea0af6ea37","0x05048DE490D6Ce43e55C0bf5a9368cF86B0C771f",4,"0xf50352b3d5c81674ce3d48eec369a0e8a91d8649bc29346558075d7eefee8b3c",25000000,false
"620d1e467cce5cea0af6ea38","0xAa4F6531CDEdd94DA565b2Dd195C7Bb479B75006",1,"0x287de141a089f3860f274c0864f837498506c21fbe270cebef2beac4ccd2e2cd",25000000,false
"620d1e467cce5cea0af6ea39","0x303b9155a574E09Ab2736966E7Fb2F66b6776f13",12,"0x7dee90404f7c1e3fab0539bcee6d75920b28f1e6de9724fa9c6f4ca7bf853fb7",25000000,false
"620d1e477cce5cea0af6ea3a","0x7cC9F9132EA4688a9D5A659140a5BbC8FB89362D",12,"0x3c8e18eaa3ed080cb03d6a1e852e1680566e5eef8a75447e877ec43da0d1dadc",25000000,false
"620d1e477cce5cea0af6ea3b","0xe37C8b9a25A622F069D7D38a51561Ce5ACD96CbD",17,"0x3aa54582120ff459d92a740f4bf5751efbaf57e762aeded0b0904846ebb90a0c",25000000,false
"620d1e477cce5cea0af6ea3c","0x19A1db3f1c6B2f15800664b313AF3045E795cb14",10,"0x8f47aa14602be91950280fda03052888b9b75a8f8d286dc71523b9b25516efc1",25000000,false
"620d1e477cce5cea0af6ea3d","0xeC462515ccBA8aCe3De9e45974ff16Be2D5EbeB3",3,"0x2440debc3ec6ad1d2906277bcb041619404d16bfcc3941a38626ce96ed6a5d82",25000000,false
"620d1e477cce5cea0af6ea3e","0x4808615F03d3a39bC2B0A8700127e44313718535",3,"0x55b529f5f39be3f863befc6276029bc2558f1bbef6c0bae502cc19bed5566578",25000000,false
"620d1e477cce5cea0af6ea3f","0x560132fFDA5d792d67aF1C15e21ab853745A0a1e",36,"0xbdc592c213e03040ae613e53dfd4c829207a6c3029115ce8fab456a148868173",25000000,false
"620d1e487cce5cea0af6ea40","0xFaa94cf50f182cc9F9656d9F52583010acaEE224",2,"0x191ebc3536539fa83224b14dbf2311365d45a4ce86bd42932146a387012d6bf9",25000000,false
"620d1e487cce5cea0af6ea41","0x16b0B50B9cF453c594Cca460a521421f5A84398c",1,"0x88c516e72fa59c7ce0553fc2e0acb3b28f70d5da540a75c415ceca8b2e070d4c",25000000,false
"620d1e487cce5cea0af6ea42","0xe97D262D3353d7cef60e3085c849c7E77F6e7a52",1,"0x3788e5dfee1234eaa0da1c58b23997ee487161d5b01f3b70ee52aaef049c9061",25000000,false
"620d1e487cce5cea0af6ea43","0x6436564b0D807fDB3E2bBC5c4F0aF44E1DDbD67F",21,"0x8dbf237b3af8f6d9c0d341130403a80522fa96ad57f0abdee262ae68dafaf0b4",25000000,false
"620d1e487cce5cea0af6ea44","0x9384d67B2eD054DDaf55C1EeB84177727F0f0B53",5,"0x6f7c699e9a5a78cd68eaed3229e68ecb8c97169ac4cb1c1f1f186599b95811d0",25000000,false
